date,day,total,temp,holiday,cloud,month,NightOpen,rain,closed,culture,year,holiday&weekend,holiday+weekend
1월 1일,토,12473 ,-7.1,1,3.1,1,0,0,0,0,2011,1,2
1월 2일,일,8307 ,-5.6,0,0,1,0,0,0,0,2011,1,1
1월 3일,월,5653 ,-4.8,0,3.6,1,0,0,0,0,2011,0,0
1월 4일,화,0 ,-4.7,0,5.8,1,0,0,10,0,2011,0,0
1월 5일,수,4887 ,-5.1,0,5.5,1,0,0,0,0,2011,0,0
1월 6일,목,4075 ,-8.7,0,0,1,0,0,0,0,2011,0,0
1월 7일,금,3865 ,-7.6,0,0,1,0,0,0,0,2011,0,0
1월 8일,토,6993 ,-4.6,0,7.5,1,0,0.2,0,0,2011,1,1
1월 9일,일,5885 ,-8,0,1.9,1,0,0,0,0,2011,1,1
1월 10일,월,3325 ,-9,0,3.1,1,0,0,0,0,2011,0,0
1월 11일,화,0 ,-6.4,0,8.1,1,0,1.9,10,0,2011,0,0
1월 12일,수,3769 ,-9.2,0,0,1,0,0,0,0,2011,0,0
1월 13일,목,4216 ,-7,0,1.6,1,0,0,0,0,2011,0,0
1월 14일,금,3720 ,-5,0,7.5,1,0,1.1,0,0,2011,0,0
1월 15일,토,5403 ,-13.5,0,0.9,1,0,0,0,0,2011,1,1
1월 16일,일,3481 ,-15.6,0,0,1,0,0,0,0,2011,1,1
1월 17일,월,4230 ,-10.3,0,0,1,0,0,0,0,2011,0,0
1월 18일,화,0 ,-7.4,0,2.8,1,0,0,10,0,2011,0,0
1월 19일,수,5212 ,-7.3,0,1.8,1,0,0,0,0,2011,0,0
1월 20일,목,4241 ,-8.9,0,0.6,1,0,0,0,0,2011,0,0
1월 21일,금,3920 ,-7.6,0,3,1,0,0,0,0,2011,0,0
1월 22일,토,9083 ,-5.1,0,5,1,0,0.4,0,0,2011,1,1
1월 23일,일,6971 ,-5.2,0,8.5,1,0,5.3,0,0,2011,1,1
1월 24일,월,5917 ,-9.6,0,1.6,1,0,0,0,0,2011,0,0
1월 25일,화,0 ,-9,0,0.5,1,0,0,10,0,2011,0,0
1월 26일,수,4295 ,-9.2,0,0.3,1,0,0,0,0,2011,0,0
1월 27일,목,3838 ,-9.9,0,2.5,1,0,0,0,0,2011,0,0
1월 28일,금,3585 ,-8.6,0,4.4,1,0,0,0,0,2011,0,0
1월 29일,토,5700 ,-10,0,1.8,1,0,0,0,0,2011,1,1
1월 30일,일,4556 ,-11.1,0,0.1,1,0,0,0,0,2011,1,1
1월 31일,월,3583 ,-6.9,0,3.4,1,0,0,0,0,2011,0,0
