date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,목,1645 ,-7,1,1.1,1,0,2015,1,1
1월 2일,금,1329 ,-5.3,0,2.1,1,0,2015,0,0
1월 3일,토,3388 ,-3.4,0,5,1,0,2015,1,1
1월 4일,일,5327 ,1.7,0,4.6,1,0,2015,1,1
1월 5일,월,1614 ,2.5,0,7,1,0.5,2015,0,0
1월 6일,화,1274 ,-2.4,0,3,1,2,2015,0,0
1월 7일,수,1010 ,-5.1,0,0.9,1,0,2015,0,0
1월 8일,목,1632 ,-5.6,0,0,1,0,2015,0,0
1월 9일,금,1363 ,-2.9,0,1.4,1,0,2015,0,0
1월 10일,토,4895 ,-1.1,0,0.5,1,0,2015,1,1
1월 11일,일,4515 ,0.2,0,2.1,1,0,2015,1,1
1월 12일,월,1200 ,-3.7,0,0,1,0,2015,0,0
1월 13일,화,1664 ,-1.5,0,5.4,1,0,2015,0,0
1월 14일,수,1746 ,1.9,0,9.5,1,0,2015,0,0
1월 15일,목,3868 ,2.4,0,2.6,1,0,2015,0,0
1월 16일,금,917 ,1,0,8.9,1,0.5,2015,0,0
1월 17일,토,3341 ,-4,0,1,1,0,2015,1,1
1월 18일,일,3649 ,-1.7,0,7.8,1,4.5,2015,1,1
1월 19일,월,1219 ,0.5,0,2,1,0.5,2015,0,0
1월 20일,화,1646 ,-2.1,0,4.5,1,0,2015,0,0
1월 21일,수,1698 ,1,0,8.9,1,0,2015,0,0
1월 22일,목,1680 ,2.3,0,7.4,1,0,2015,0,0
1월 23일,금,1692 ,0,0,6,1,0,2015,0,0
1월 24일,토,7493 ,2.7,0,6.4,1,0,2015,1,1
1월 25일,일,2864 ,2.4,0,9.1,1,3,2015,1,1
1월 26일,월,1402 ,3.9,0,8.9,1,0,2015,0,0
1월 27일,화,1508 ,-2.9,0,1.3,1,0,2015,0,0
1월 28일,수,1263 ,-4.3,0,2.6,1,0,2015,0,0
1월 29일,목,1261 ,-0.9,0,8.9,1,0,2015,0,0
1월 30일,금,2953 ,-2.6,0,1.9,1,0,2015,0,0
1월 31일,토,3256 ,-4.8,0,0,1,0,2015,1,1
2월 1일,일,5028 ,-3.7,0,0.3,2,0,2015,1,1
2월 2일,월,1671 ,-2.2,0,2.1,2,0,2015,0,0
2월 3일,화,1759 ,-0.9,0,4.6,2,0,2015,0,0
2월 4일,수,1588 ,-0.2,0,3.4,2,0,2015,0,0
2월 5일,목,1995 ,-0.6,0,0,2,0,2015,0,0
2월 6일,금,1401 ,-0.5,0,3.1,2,0,2015,0,0
2월 7일,토,4933 ,0.9,0,5.6,2,0,2015,1,1
2월 8일,일,1328 ,-8.8,0,0,2,0,2015,1,1
2월 9일,월,593 ,-4.6,0,4,2,0.5,2015,0,0
2월 10일,화,1136 ,1.7,0,4.1,2,0,2015,0,0
2월 11일,수,1403 ,2.7,0,4.4,2,0,2015,0,0
2월 12일,목,1194 ,-1.3,0,0.1,2,0,2015,0,0
2월 13일,금,1102 ,-0.9,0,0,2,0,2015,0,0
2월 14일,토,3983 ,2,0,3.9,2,0,2015,1,1
2월 15일,일,6625 ,7.5,0,8.5,2,0,2015,1,1
2월 16일,월,437 ,5.4,0,10,2,8,2015,0,0
2월 17일,화,952 ,2.6,0,9.5,2,0,2015,0,0
2월 18일,수,2390 ,0.9,1,7.6,2,0,2015,1,1
2월 19일,목,6572 ,0.9,1,1.6,2,0,2015,1,1
2월 20일,금,15466 ,4.1,1,4.4,2,0,2015,1,1
2월 21일,토,1794 ,5.6,0,9.6,2,6.5,2015,1,1
2월 22일,일,3656 ,3.8,0,7.6,2,3,2015,1,1
2월 23일,월,1341 ,1.2,0,3.3,2,0,2015,0,0
2월 24일,화,2596 ,2,0,3.6,2,0,2015,0,0
2월 25일,수,2900 ,5.4,0,8,2,0.5,2015,0,0
2월 26일,목,2159 ,1.7,0,3.4,2,1,2015,0,0
2월 27일,금,1663 ,-1.3,0,2.9,2,0,2015,0,0
2월 28일,토,5427 ,2.3,0,9,2,0,2015,1,1
3월 1일,일,4109 ,2.8,1,5.6,3,0,2015,1,2
3월 2일,월,1971 ,3.4,0,0.1,3,0,2015,0,0
3월 3일,화,788 ,3.2,0,8.6,3,4.5,2015,0,0
3월 4일,수,1158 ,-1.4,0,1.1,3,0,2015,0,0
3월 5일,목,1237 ,-0.8,0,3,3,0,2015,0,0
3월 6일,금,2095 ,1.7,0,1,3,0,2015,0,0
3월 7일,토,19698 ,3.2,0,0.3,3,0,2015,1,1
3월 8일,일,26998 ,7.1,0,4,3,0,2015,1,1
3월 9일,월,1357 ,2.6,0,4.1,3,0,2015,0,0
3월 10일,화,686 ,-2.7,0,0,3,0,2015,0,0
3월 11일,수,1133 ,1.1,0,1.1,3,0,2015,0,0
3월 12일,목,1663 ,3,0,2.4,3,0,2015,0,0
3월 13일,금,2198 ,5.9,0,3.1,3,0.5,2015,0,0
3월 14일,토,24635 ,3.8,0,2.1,3,0,2015,1,1
3월 15일,일,30605 ,4.6,0,1.6,3,0,2015,1,1
3월 16일,월,3557 ,8.4,0,2.3,3,0,2015,0,0
3월 17일,화,2679 ,9.7,0,8.1,3,0,2015,0,0
3월 18일,수,873 ,10.4,0,9.9,3,2,2015,0,0
3월 19일,목,4034 ,12.1,0,2.8,3,0,2015,0,0
3월 20일,금,4331 ,12.5,0,5.5,3,0,2015,0,0
3월 21일,토,30195 ,11.5,0,0.8,3,0,2015,1,1
3월 22일,일,19734 ,7.7,0,2.5,3,0,2015,1,1
3월 23일,월,2158 ,4.8,0,0.1,3,0,2015,0,0
3월 24일,화,2399 ,4.6,0,0,3,0,2015,0,0
3월 25일,수,3538 ,5.8,0,0,3,0,2015,0,0
3월 26일,목,3689 ,7.1,0,0,3,0,2015,0,0
3월 27일,금,4850 ,8.3,0,0.3,3,0,2015,0,0
3월 28일,토,33828 ,9.2,0,3.3,3,0,2015,1,1
3월 29일,일,20850 ,10,0,4.8,3,0,2015,1,1
3월 30일,월,4037 ,12.5,0,1.9,3,0,2015,0,0
3월 31일,화,4708 ,12.3,0,8.8,3,1,2015,0,0
4월 1일,수,4088 ,13.2,0,7.9,4,1.5,2015,0,0
4월 2일,목,3207 ,15.2,0,7.9,4,8,2015,0,0
