date,day,total,temp,공휴일,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,월,15108,-1.3,1,1,1,0,0,0,0,2018,1,1
1월 2일,화,0,-2.4,0,2.3,1,0,0,10,0,2018,0,0
1월 3일,수,6701,-5.9,0,3.6,1,0,0,0,0,2018,0,0
1월 4일,목,5084,-5.8,0,6.5,1,0,0,0,0,2018,0,0
1월 5일,금,5547,-3.8,0,3.6,1,0,0,0,0,2018,0,0
1월 6일,토,8704,-3.2,0,0,1,0,0,0,0,2018,1,1
1월 7일,일,8278,-1.6,0,7.5,1,0,0,0,0,2018,1,1
1월 8일,월,4773,0.1,0,9,1,0,0.9,0,0,2018,0,0
1월 9일,화,0,-5.7,0,3.5,1,0,0.5,10,0,2018,0,0
1월 10일,수,4092,-9,0,0.9,1,0,0.3,0,0,2018,0,0
1월 11일,목,3485,-12.6,0,0.4,1,0,0,0,0,2018,0,0
1월 12일,금,3499,-11.2,0,2.3,1,0,0,0,0,2018,0,0
1월 13일,토,7170,-5.6,0,8.3,1,0,0.4,0,0,2018,1,1
1월 14일,일,8361,-0.3,0,7,1,0,0,0,0,2018,1,1
1월 15일,월,5313,3.7,0,7.6,1,0,0.2,0,0,2018,0,0
1월 16일,화,0,2.9,0,9.8,1,0,0,10,0,2018,0,0
1월 17일,수,5236,3.3,0,7.4,1,0,0,0,0,2018,0,0
1월 18일,목,5461,0.8,0,8.6,1,0,0,0,0,2018,0,0
1월 19일,금,6556,0.1,0,3.8,1,0,0,0,0,2018,0,0
1월 20일,토,11493,1.8,0,5.1,1,0,0,0,0,2018,1,1
1월 21일,일,10003,0.1,0,2,1,0,0,0,0,2018,1,1
1월 22일,월,5288,-1,0,9.4,1,0,3.3,0,0,2018,0,0
1월 23일,화,0,-13.6,0,0.3,1,0,0,10,0,2018,0,0
1월 24일,수,3043,-16,0,0,1,0,0,0,0,2018,0,0
1월 25일,목,3323,-15.8,0,3.6,1,0,0,0,0,2018,0,0
1월 26일,금,3433,-16.3,0,0,1,0,0,0,0,2018,0,0
1월 27일,토,6629,-11,0,1.8,1,0,0,0,0,2018,1,1
1월 28일,일,6853,-7.5,0,3.3,1,0,0,0,0,2018,1,1
1월 29일,월,4911,-9.7,0,0.1,1,0,0,10,0,2018,0,0
1월 30일,화,0,-5.9,0,5.8,1,0,2.9,0,0,2018,0,0
1월 31일,수,6551,-3.2,0,7.4,1,0,0,0,1,2018,0,0
2월 1일,목,4762,-4.3,0,0,2,0,0,0,0,2018,0,0
2월 2일,금,4947,-2.8,0,1.9,2,0,0,0,0,2018,0,0
2월 3일,토,6380,-8.8,0,1.3,2,0,0.5,0,0,2018,1,1
2월 4일,일,5913,-11,0,0,2,0,0,0,0,2018,1,1
2월 5일,월,4156,-10.7,0,0.1,2,0,0,0,0,2018,0,0
2월 6일,화,0,-11.6,0,1.1,2,0,0,10,0,2018,0,0
2월 7일,수,4798,-8.7,0,1,2,0,0,0,0,2018,0,0
2월 8일,목,6325,-4.6,0,0.3,2,0,0,0,0,2018,0,0
2월 9일,금,5760,-0.3,0,9.1,2,0,0,0,0,2018,0,0
