date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,금,4382 ,0.5,1,5.4,1,0,2016,1,1
1월 2일,토,7265 ,6,0,6.4,1,0,2016,1,1
1월 3일,일,4557 ,5.5,0,7.5,1,0,2016,1,1
1월 4일,월,1690 ,3.1,0,4.5,1,0,2016,0,0
1월 5일,화,1256 ,-2.3,0,3.3,1,0,2016,0,0
1월 6일,수,1174 ,-1.1,0,5.5,1,0,2016,0,0
1월 7일,목,1044 ,-2.7,0,1.4,1,0,2016,0,0
1월 8일,금,926 ,-3.2,0,2,1,0,2016,0,0
1월 9일,토,2640 ,-1.2,0,4.4,1,0,2016,1,1
1월 10일,일,3604 ,0.7,0,3.1,1,0,2016,1,1
1월 11일,월,996 ,-3.4,0,1.5,1,0,2016,0,0
1월 12일,화,1642 ,-4.8,0,1.6,1,0,2016,0,0
1월 13일,수,1007 ,-3.8,0,5.3,1,0,2016,0,0
1월 14일,목,872 ,-3.5,0,3.5,1,0,2016,0,0
1월 15일,금,1047 ,-0.8,0,2.5,1,0,2016,0,0
1월 16일,토,2997 ,-0.7,0,7.4,1,0,2016,1,1
1월 17일,일,3448 ,0.8,0,6.5,1,0,2016,1,1
1월 18일,월,808 ,-5.3,0,5.1,1,0,2016,0,0
1월 19일,화,300 ,-11.3,0,0.4,1,0,2016,0,0
1월 20일,수,422 ,-9.7,0,2.6,1,0,2016,0,0
1월 21일,목,627 ,-6.8,0,4.3,1,0,2016,0,0
1월 22일,금,586 ,-7,0,5.1,1,0,2016,0,0
1월 23일,토,890 ,-10.1,0,4.1,1,0,2016,1,1
1월 24일,일,324 ,-13.3,0,0,1,0,2016,1,1
1월 25일,월,422 ,-8.9,0,1,1,0,2016,0,0
1월 26일,화,758 ,-2.8,0,5.5,1,0,2016,0,0
1월 27일,수,1218 ,-1.4,0,2.6,1,0,2016,0,0
1월 28일,목,1146 ,-0.9,0,6.9,1,0,2016,0,0
1월 29일,금,1777 ,1.3,0,7,1,0,2016,0,0
1월 30일,토,4128 ,0,0,3.3,1,0,2016,1,1
1월 31일,일,2584 ,-2.8,0,4,1,0,2016,1,1
2월 1일,월,3746 ,-5.6,0,0.9,2,0,2016,0,0
2월 2일,화,2927 ,-5.5,0,0,2,0,2016,0,0
2월 3일,수,1130 ,-3.1,0,2.3,2,0,2016,0,0
2월 4일,목,1120 ,-0.1,0,3.8,2,0,2016,0,0
2월 5일,금,840 ,-1.7,0,2.8,2,0,2016,0,0
2월 6일,토,2058 ,-3,0,0,2,0,2016,1,1
2월 7일,일,2128 ,-3.7,1,1.1,2,0,2016,1,2
2월 8일,월,3221 ,1.5,1,6.1,2,0,2016,1,1
2월 9일,화,7060 ,1.4,1,0.8,2,0,2016,1,1
2월 10일,수,9949 ,0.7,1,0,2,0,2016,1,1
2월 11일,목,3098 ,7.1,0,6.3,2,0.5,2016,0,0
2월 12일,금,357 ,8.3,0,10,2,16.5,2016,0,0
2월 13일,토,2742 ,10.9,0,10,2,19.5,2016,1,1
2월 14일,일,2042 ,-1.7,0,8.4,2,0.5,2016,1,1
2월 15일,월,696 ,-5,0,2.4,2,0,2016,0,0
2월 16일,화,994 ,-2.2,0,4.1,2,1,2016,0,0
2월 17일,수,1429 ,0.2,0,0.3,2,0,2016,0,0
2월 18일,목,1622 ,3.7,0,4.3,2,0,2016,0,0
2월 19일,금,1630 ,2.3,0,7.5,2,0,2016,0,0
2월 20일,토,6626 ,1.5,0,2,2,0,2016,1,1
2월 21일,일,5102 ,0.1,0,2.8,2,0,2016,1,1
2월 22일,월,1398 ,1.5,0,9.5,2,0,2016,0,0
2월 23일,화,1726 ,1.2,0,5.4,2,0,2016,0,0
2월 24일,수,1333 ,-2.3,0,0,2,0,2016,0,0
2월 25일,목,1538 ,0.4,0,3,2,0,2016,0,0
2월 26일,금,2519 ,2.7,0,4.8,2,0,2016,0,0
2월 27일,토,6519 ,2.7,0,7.5,2,2.5,2016,1,1
2월 28일,일,4970 ,0.5,0,6.5,2,3.5,2016,1,1
2월 29일,월,1233 ,-2.8,0,2.5,2,0,2016,0,0
3월 1일,화,4507 ,-2.5,1,1.9,3,0,2016,1,1
3월 2일,수,2146 ,3.6,0,6.6,3,0,2016,0,0
3월 3일,목,1783 ,7.7,0,6,3,0,2016,0,0
3월 4일,금,2783 ,12.6,0,6.6,3,0.5,2016,0,0
3월 5일,토,1405 ,12.5,0,8.8,3,38.5,2016,1,1
3월 6일,일,11564 ,8.3,0,4.3,3,0,2016,1,1
3월 7일,월,1480 ,8,0,8,3,0,2016,0,0
3월 8일,화,11521 ,3.5,0,8.5,3,0,2016,0,0
3월 9일,수,1255 ,1.3,0,4.1,3,0,2016,0,0
3월 10일,목,1184 ,0.1,0,2.3,3,0,2016,0,0
3월 11일,금,2305 ,0.2,0,0.1,3,0,2016,0,0
3월 12일,토,7460 ,2.2,0,5.8,3,0,2016,1,1
3월 13일,일,6352 ,3.9,0,7.4,3,0,2016,1,1
3월 14일,월,2385 ,5.4,0,3.6,3,0,2016,0,0
3월 15일,화,2541 ,5.4,0,4,3,0,2016,0,0
3월 16일,수,2697 ,7.4,0,2.8,3,0,2016,0,0
3월 17일,목,2529 ,8.4,0,6.3,3,0,2016,0,0
3월 18일,금,2836 ,12.4,0,5.1,3,0,2016,0,0
3월 19일,토,33131 ,10.9,0,0,3,0,2016,1,1
3월 20일,일,34360 ,9.6,0,0.4,3,0,2016,1,1
3월 21일,월,3537 ,9.4,0,0,3,0,2016,0,0
3월 22일,화,3338 ,7.7,0,4,3,0,2016,0,0
3월 23일,수,2787 ,8.4,0,4,3,0,2016,0,0
3월 24일,목,2438 ,6.3,0,0.4,3,0,2016,0,0
3월 25일,금,3291 ,5.9,0,1.4,3,0,2016,0,0
3월 26일,토,21748 ,5.6,0,1,3,0,2016,1,1
3월 27일,일,30489 ,6.4,0,0.9,3,0,2016,1,1
3월 28일,월,4136 ,9.4,0,0.8,3,0,2016,0,0
3월 29일,화,2248 ,11.6,0,6.8,3,0,2016,0,0
3월 30일,수,4857 ,10.7,0,3.1,3,0,2016,0,0
3월 31일,목,4758 ,12.3,0,4.8,3,0,2016,0,0
4월 1일,금,7537 ,14,0,2.6,4,0,2016,0,0
4월 2일,토,37787 ,14.5,0,2.8,4,0,2016,1,1
4월 3일,일,9952 ,10.3,0,8.4,4,3,2016,1,1
4월 4일,월,6813 ,12.3,0,4.1,4,0,2016,0,0
4월 5일,화,7452 ,11.4,0,1.4,4,0,2016,0,0
4월 6일,수,9032 ,14,0,7.3,4,3.5,2016,0,0
4월 7일,목,5013 ,14.5,0,6.3,4,6,2016,0,0
4월 8일,금,11370 ,11.6,0,5.9,4,0,2016,0,0
4월 9일,토,32879 ,12.2,0,8,4,0,2016,1,1
4월 10일,일,33139 ,14,0,5.8,4,0,2016,1,1
4월 11일,월,11313 ,12.8,0,0.3,4,0,2016,0,0
4월 12일,화,12028 ,14.5,0,6.4,4,0,2016,0,0
4월 13일,수,26405 ,15.2,1,5.6,4,3.5,2016,1,1
4월 14일,목,7079 ,12.5,0,3.6,4,0,2016,0,0
4월 15일,금,14228 ,13.3,0,2.5,4,0,2016,0,0
4월 16일,토,14154 ,14.8,0,7.6,4,21,2016,1,1
4월 17일,일,14205 ,11.4,0,5.6,4,21.5,2016,1,1
4월 18일,월,5862 ,11.8,0,4.3,4,2,2016,0,0
4월 19일,화,12051 ,12.3,0,5.6,4,0,2016,0,0
4월 20일,수,6493 ,13.7,0,8.9,4,0.5,2016,0,0
4월 21일,목,3489 ,14,0,9.3,4,13,2016,0,0
4월 22일,금,9794 ,14.4,0,7.8,4,0,2016,0,0
4월 23일,토,14361 ,13.5,0,7.5,4,0,2016,1,1
4월 24일,일,19642 ,14.3,0,2.9,4,0,2016,1,1
4월 25일,월,19979 ,16.3,0,1,4,0,2016,0,0
4월 26일,화,11099 ,20.3,0,6.1,4,0,2016,0,0
4월 27일,수,9335 ,17.1,0,9.8,4,0,2016,0,0
4월 28일,목,11151 ,16.3,0,5.3,4,0,2016,0,0
4월 29일,금,15084 ,15.7,0,1.3,4,0,2016,0,0
4월 30일,토,21736 ,16.6,0,5.1,4,0,2016,1,1
5월 1일,일,31290 ,17.8,0,4.4,5,0,2016,1,1
5월 2일,월,7756 ,20.3,0,7.4,5,24.5,2016,0,0
5월 3일,화,754 ,13.4,0,9.9,5,31.5,2016,0,0
5월 4일,수,11015 ,16.4,0,1.3,5,0,2016,0,0
5월 5일,목,58688 ,18.9,1,4,5,0.5,2016,1,1
5월 6일,금,8162 ,16.4,1,9,5,5.5,2016,1,1
5월 7일,토,26612 ,16.1,0,2.9,5,0,2016,1,1
5월 8일,일,19719 ,18.2,0,5,5,0,2016,1,1
5월 9일,월,6883 ,20,0,8,5,0,2016,0,0
5월 10일,화,2258 ,14.6,0,9.6,5,14,2016,0,0
5월 11일,수,7812 ,16.6,0,2,5,0,2016,0,0
5월 12일,목,17015 ,17.9,0,3.6,5,0,2016,0,0
5월 13일,금,17536 ,18,0,3.5,5,0,2016,0,0
5월 14일,토,33879 ,19.3,1,5.1,5,0,2016,1,2
5월 15일,일,14485 ,17.1,0,8.3,5,43,2016,1,1
5월 16일,월,5422 ,15.6,0,3.3,5,4,2016,0,0
5월 17일,화,8423 ,18,0,0,5,0,2016,0,0
5월 18일,수,7567 ,20.6,0,1.3,5,0,2016,0,0
5월 19일,목,10067 ,22.2,0,0,5,0,2016,0,0
5월 20일,금,23976 ,22.4,0,1.9,5,0,2016,0,0
5월 21일,토,24125 ,21.7,0,4,5,0,2016,1,1
5월 22일,일,19183 ,22.5,0,4.8,5,0,2016,1,1
5월 23일,월,5807 ,22.4,0,7.4,5,0,2016,0,0
5월 24일,화,4843 ,16.4,0,6.5,5,35.5,2016,0,0
5월 25일,수,8512 ,19.8,0,7.5,5,0,2016,0,0
5월 26일,목,11009 ,19.7,0,7.4,5,0,2016,0,0
5월 27일,금,13374 ,20.4,0,7.6,5,0,2016,0,0
5월 28일,토,30005 ,20.4,0,2.6,5,0,2016,1,1
5월 29일,일,30541 ,20.6,0,4.1,5,0,2016,1,1
5월 30일,월,6632 ,21.3,0,0,5,0,2016,0,0
5월 31일,화,8769 ,21.1,0,3.6,5,0,2016,0,0
6월 1일,수,7759 ,21.8,0,2.6,6,0,2016,0,0
6월 2일,목,11292 ,21.5,0,0.8,6,0,2016,0,0
6월 3일,금,12877 ,21.8,0,4.3,6,0,2016,0,0
6월 4일,토,33802 ,20,0,8.8,6,0,2016,1,1
6월 5일,일,41743 ,23,0,3.1,6,0,2016,1,1
6월 6일,월,39271 ,22.7,1,8.1,6,0,2016,1,1
6월 7일,화,7333 ,21.6,0,5,6,0,2016,0,0
6월 8일,수,6171 ,21.3,0,4.5,6,0,2016,0,0
6월 9일,목,5514 ,22.5,0,3.9,6,0,2016,0,0
6월 10일,금,8010 ,23.8,0,3.4,6,0,2016,0,0
6월 11일,토,15784 ,23.5,0,7.9,6,12,2016,1,1
6월 12일,일,14106 ,23.2,0,8.6,6,0.5,2016,1,1
