date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,일,0 ,1.9,1,7,1,0,2017,1,2
1월 2일,월,0 ,5.7,0,6.9,1,0,2017,0,0
1월 3일,화,0 ,1.1,0,0.5,1,0,2017,0,0
1월 4일,수,0 ,3.2,0,2.4,1,0,2017,0,0
1월 5일,목,0 ,3.5,0,8.4,1,0,2017,0,0
1월 6일,금,0 ,5.3,0,3.4,1,0,2017,0,0
1월 7일,토,0 ,2.9,0,4.3,1,0,2017,1,1
1월 8일,일,0 ,6.2,0,7.4,1,0,2017,1,1
1월 9일,월,0 ,2.6,0,4,1,0,2017,0,0
1월 10일,화,0 ,-2.5,0,1.1,1,0,2017,0,0
1월 11일,수,0 ,-3.4,0,1.5,1,0,2017,0,0
1월 12일,목,0 ,-1.2,0,4,1,0,2017,0,0
1월 13일,금,0 ,-5.2,0,2.3,1,0,2017,0,0
1월 14일,토,0 ,-7.4,0,0,1,0,2017,1,1
1월 15일,일,0 ,-6.9,0,0,1,0,2017,1,1
1월 16일,월,0 ,-5.3,0,0,1,0,2017,0,0
1월 17일,화,0 ,-3.2,0,4.1,1,0,2017,0,0
1월 18일,수,0 ,-1.3,0,4.6,1,0,2017,0,0
1월 19일,목,0 ,-1.8,0,4.4,1,0,2017,0,0
1월 20일,금,0 ,-4.6,0,4.3,1,2,2017,0,0
1월 21일,토,0 ,-5.9,0,5.9,1,0.5,2017,1,1
1월 22일,일,0 ,-7.2,0,0,1,0,2017,1,1
1월 23일,월,0 ,-8.4,0,0,1,0,2017,0,0
1월 24일,화,0 ,-8,0,0,1,0,2017,0,0
1월 25일,수,0 ,-6.8,0,0,1,0,2017,0,0
1월 26일,목,0 ,-2,0,5.6,1,0,2017,0,0
1월 27일,금,0 ,-2.3,1,1.8,1,4,2017,1,1
1월 28일,토,0 ,-2.3,1,5.8,1,0,2017,1,2
1월 29일,일,0 ,0.5,1,10,1,4.5,2017,1,2
1월 30일,월,0 ,-4.9,1,3,1,0,2017,1,1
1월 31일,화,0 ,-6,0,4,1,0,2017,0,0
2월 1일,수,0 ,-3.9,0,0.9,2,0,2017,0,0
2월 2일,목,0 ,-2.6,0,3,2,0,2017,0,0
2월 3일,금,0 ,0.7,0,1.8,2,0,2017,0,0
2월 4일,토,0 ,0,0,7.3,2,0,2017,1,1
2월 5일,일,0 ,1.6,0,7.3,2,0,2017,1,1
2월 6일,월,0 ,-1.3,0,0.1,2,0,2017,0,0
2월 7일,화,0 ,-2.5,0,5.6,2,0,2017,0,0
2월 8일,수,0 ,-1.9,0,6.4,2,0,2017,0,0
2월 9일,목,0 ,-4.3,0,2,2,0,2017,0,0
2월 10일,금,0 ,-5.7,0,1,2,0,2017,0,0
2월 11일,토,0 ,-4,0,0.6,2,0,2017,1,1
2월 12일,일,0 ,-2.8,0,0.1,2,0,2017,1,1
2월 13일,월,0 ,-1.2,0,3.6,2,0,2017,0,0
2월 14일,화,0 ,-0.3,0,0,2,0,2017,0,0
2월 15일,수,0 ,0,0,0,2,0,2017,0,0
2월 16일,목,0 ,5.1,0,5.9,2,0,2017,0,0
2월 17일,금,0 ,1.6,0,3.8,2,4,2017,0,0
2월 18일,토,0 ,-2,0,0.3,2,0,2017,1,1
2월 19일,일,0 ,2.3,0,6.9,2,3,2017,1,1
2월 20일,월,0 ,-0.8,0,2.3,2,1,2017,0,0
2월 21일,화,0 ,-1.1,0,3.6,2,0,2017,0,0
2월 22일,수,0 ,1.4,0,9.6,2,4.5,2017,0,0
2월 23일,목,0 ,-0.7,0,1.9,2,0,2017,0,0
2월 24일,금,0 ,-0.9,0,2.6,2,0,2017,0,0
2월 25일,토,0 ,1.8,0,1.1,2,0,2017,1,1
2월 26일,일,0 ,2.7,0,1.4,2,0,2017,1,1
2월 27일,월,0 ,2.6,0,0,2,0,2017,0,0
2월 28일,화,0 ,4.2,0,0.9,2,0,2017,0,0
3월 1일,수,0 ,4.3,1,9.3,3,5.5,2017,1,1
3월 2일,목,0 ,2.1,0,3.5,3,1,2017,0,0
3월 3일,금,0 ,2.4,0,2.3,3,0,2017,0,0
3월 4일,토,0 ,4.1,0,0,3,0,2017,1,1
3월 5일,일,0 ,4.8,0,5.9,3,0.5,2017,1,1
3월 6일,월,0 ,0.8,0,1.1,3,0,2017,0,0
3월 7일,화,0 ,-0.8,0,2.1,3,0,2017,0,0
3월 8일,수,0 ,0.3,0,3.1,3,0,2017,0,0
3월 9일,목,0 ,3.3,0,0.4,3,0,2017,0,0
3월 10일,금,0 ,4.2,0,0.1,3,0,2017,0,0
3월 11일,토,0 ,5.8,0,3.3,3,0,2017,1,1
3월 12일,일,0 ,8,0,8.6,3,0,2017,1,1
3월 13일,월,0 ,6.7,0,3.4,3,0,2017,0,0
3월 14일,화,0 ,5.6,0,0,3,0,2017,0,0
3월 15일,수,0 ,4.9,0,0,3,0,2017,0,0
3월 16일,목,0 ,5.1,0,2.5,3,0,2017,0,0
3월 17일,금,0 ,6.4,0,1,3,0,2017,0,0
3월 18일,토,0 ,9,0,3.4,3,0,2017,1,1
3월 19일,일,0 ,8.9,0,0.5,3,0,2017,1,1
3월 20일,월,0 ,8.9,0,8.1,3,0,2017,0,0
3월 21일,화,0 ,7.8,0,2,3,0,2017,0,0
3월 22일,수,0 ,6.6,0,4.4,3,0,2017,0,0
3월 23일,목,0 ,8.2,0,3.8,3,0,2017,0,0
3월 24일,금,0 ,7.3,0,7.1,3,0,2017,0,0
3월 25일,토,0 ,7.3,0,6,3,0,2017,1,1
3월 26일,일,0 ,7.1,0,8.4,3,0,2017,1,1
3월 27일,월,0 ,6.7,0,5.5,3,0,2017,0,0
3월 28일,화,2 ,6.8,0,7.8,3,0,2017,0,0
3월 29일,수,7 ,8.1,0,3.6,3,0,2017,0,0
3월 30일,목,2369 ,10,0,5.1,3,0,2017,0,0
3월 31일,금,1299 ,8.6,0,8.9,3,0,2017,0,0
4월 1일,토,17070 ,8.9,0,5.3,4,0,2017,1,1
4월 2일,일,32457 ,8.2,0,0.6,4,0,2017,1,1
4월 3일,월,3032 ,11.1,0,0,4,0,2017,0,0
4월 4일,화,3576 ,12.6,0,4.6,4,0,2017,0,0
4월 5일,수,1067 ,11.9,0,9.9,4,38,2017,0,0
4월 6일,목,1603 ,11,0,9.6,4,5.5,2017,0,0
4월 7일,금,6248 ,14.4,0,5.6,4,0,2017,0,0
4월 8일,토,40887 ,13,0,8.6,4,0,2017,1,1
4월 9일,일,39359 ,14.1,0,8.4,4,0.5,2017,1,1
4월 10일,월,7589 ,15.4,0,5.4,4,0,2017,0,0
4월 11일,화,7035 ,14.9,0,4.5,4,0,2017,0,0
4월 12일,수,7538 ,11.2,0,1.5,4,0,2017,0,0
4월 13일,목,7727 ,12.2,0,3.1,4,0,2017,0,0
4월 14일,금,3058 ,13.2,0,6.6,4,3.5,2017,0,0
4월 15일,토,31747 ,16,0,2,4,0,2017,1,1
4월 16일,일,37119 ,17.3,0,7.3,4,0,2017,1,1
4월 17일,월,2046 ,13.2,0,7.3,4,5,2017,0,0
4월 18일,화,2864 ,11.4,0,5.3,4,5.5,2017,0,0
4월 19일,수,17909 ,13.3,0,1.6,4,0,2017,0,0
4월 20일,목,3430 ,12.2,0,7.5,4,0,2017,0,0
4월 21일,금,7265 ,11.9,0,3.6,4,0,2017,0,0
4월 22일,토,30798 ,13.6,0,0.5,4,0,2017,1,1
4월 23일,일,40116 ,13.1,0,0,4,0,2017,1,1
4월 24일,월,6026 ,13.4,0,2.9,4,0,2017,0,0
4월 25일,화,5660 ,15.7,0,7.9,4,0,2017,0,0
4월 26일,수,7375 ,15,0,3.4,4,0,2017,0,0
4월 27일,목,7641 ,13.2,0,0.1,4,0,2017,0,0
4월 28일,금,9533 ,14.5,0,1.6,4,0,2017,0,0
4월 29일,토,21481 ,16.7,0,0.4,4,0,2017,1,1
4월 30일,일,26596 ,18.7,0,0,4,0,2017,1,1
5월 1일,월,23136 ,18.5,0,1.3,5,0,2017,0,0
5월 2일,화,13938 ,18.9,0,3.1,5,0,2017,0,0
5월 3일,수,30998 ,19.3,1,0,5,0,2017,1,1
5월 4일,목,25285 ,20.4,0,7,5,0,2017,0,0
5월 5일,금,46264 ,20.7,1,5.5,5,0,2017,1,1
5월 6일,토,9915 ,14.4,0,2.4,5,0,2017,1,1
5월 7일,일,7630 ,15.6,0,1.3,5,0,2017,1,1
5월 8일,월,3876 ,16.8,0,7,5,0,2017,0,0
5월 9일,화,3997 ,16.1,1,9.8,5,2,2017,1,1
5월 10일,수,4585 ,15.7,0,6,5,3.5,2017,0,0
5월 11일,목,5814 ,18.1,0,7.4,5,0,2017,0,0
5월 12일,금,18841 ,18.6,0,7.4,5,0,2017,0,0
5월 13일,토,7908 ,16,0,5.5,5,7.5,2017,1,1
5월 14일,일,31381 ,15.9,0,0,5,0,2017,1,1
5월 15일,월,6424 ,15.9,0,2.6,5,0,2017,0,0
5월 16일,화,6234 ,16.2,0,6.3,5,0,2017,0,0
5월 17일,수,6530 ,17.9,0,0.3,5,0,2017,0,0
5월 18일,목,8462 ,19.2,0,1.1,5,0,2017,0,0
5월 19일,금,12305 ,19.8,0,0,5,0,2017,0,0
5월 20일,토,22972 ,19.8,0,5.1,5,0,2017,1,1
5월 21일,일,24708 ,19.9,0,2.4,5,0,2017,1,1
5월 22일,월,4876 ,20.1,0,2.8,5,0,2017,0,0
5월 23일,화,5384 ,19.1,0,9.3,5,11,2017,0,0
5월 24일,수,6338 ,20.9,0,4.1,5,1,2017,0,0
5월 25일,목,7842 ,18.9,0,0.8,5,0,2017,0,0
5월 26일,금,12687 ,16.7,0,1.5,5,0,2017,0,0
5월 27일,토,33795 ,18,0,0.1,5,0,2017,1,1
5월 28일,일,39195 ,20,0,0.8,5,0,2017,1,1
5월 29일,월,7267 ,21.9,0,0.9,5,0,2017,0,0
