date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,수,6602 ,4,1,1.1,1,0,2014,1,1
1월 2일,목,2740 ,0.4,0,0.8,1,0,2014,0,0
1월 3일,금,2998 ,1.9,0,5.3,1,0,2014,0,0
1월 4일,토,7559 ,-0.6,0,0,1,0,2014,1,1
1월 5일,일,7533 ,-1.7,0,1.9,1,0,2014,1,1
1월 6일,월,2167 ,-1.1,0,1.3,1,0,2014,0,0
1월 7일,화,2226 ,1.5,0,8.8,1,0,2014,0,0
1월 8일,수,2024 ,0.6,0,7.3,1,0,2014,0,0
1월 9일,목,876 ,-7.1,0,0,1,0,2014,0,0
1월 10일,금,911 ,-5.4,0,4.1,1,0,2014,0,0
1월 11일,토,4355 ,-2.6,0,4.9,1,0,2014,1,1
1월 12일,일,5008 ,-2.3,0,2.4,1,0,2014,1,1
1월 13일,월,1047 ,-6.9,0,0,1,0,2014,0,0
1월 14일,화,1460 ,-5.4,0,0,1,0,2014,0,0
1월 15일,수,2019 ,-4.3,0,0.3,1,0,2014,0,0
1월 16일,목,3304 ,-1,0,5.8,1,0,2014,0,0
1월 17일,금,1662 ,-1.5,0,3.6,1,0,2014,0,0
1월 18일,토,5379 ,-1.8,0,1.3,1,0,2014,1,1
1월 19일,일,4778 ,-3.3,0,4.3,1,0,2014,1,1
1월 20일,월,939 ,-1,0,8.9,1,5.5,2014,0,0
1월 21일,화,878 ,-5.8,0,5.4,1,0,2014,0,0
1월 22일,수,1382 ,-5.3,0,0.4,1,0,2014,0,0
1월 23일,목,2113 ,-2.9,0,2.1,1,0,2014,0,0
1월 24일,금,1892 ,2.5,0,8.4,1,0,2014,0,0
1월 25일,토,1807 ,3.4,0,7.4,1,2,2014,1,1
1월 26일,일,5800 ,-2.6,0,0,1,0,2014,1,1
1월 27일,월,1695 ,-1.3,0,1.8,1,0,2014,0,0
1월 28일,화,1588 ,0.5,0,3.6,1,0.5,2014,0,0
1월 29일,수,1877 ,0.7,0,3.9,1,0,2014,0,0
1월 30일,목,0 ,3.4,1,6.3,1,4,2014,1,1
1월 31일,금,0 ,0.1,1,1.6,1,0,2014,1,1
2월 1일,토,0 ,3.5,1,9.8,2,5.5,2014,1,2
2월 2일,일,0 ,4.8,0,8.9,2,1,2014,1,1
2월 3일,월,0 ,-3.2,0,3,2,0,2014,0,0
2월 4일,화,0 ,-7,0,1,2,0,2014,0,0
2월 5일,수,0 ,-5.1,0,5,2,0,2014,0,0
2월 6일,목,0 ,-2.4,0,4.8,2,0,2014,0,0
2월 7일,금,0 ,2.4,0,8.1,2,0,2014,0,0
2월 8일,토,0 ,0.1,0,9.6,2,2.5,2014,1,1
2월 9일,일,0 ,-1.3,0,7.8,2,0,2014,1,1
2월 10일,월,0 ,-0.9,0,5.6,2,0,2014,0,0
2월 11일,화,0 ,-1.6,0,1.3,2,0,2014,0,0
2월 12일,수,0 ,0.7,0,5.3,2,0,2014,0,0
2월 13일,목,0 ,1,0,5.4,2,0,2014,0,0
2월 14일,금,0 ,0.8,0,4,2,0,2014,0,0
2월 15일,토,0 ,1.2,0,0.3,2,0,2014,1,1
2월 16일,일,0 ,1.4,0,5,2,0,2014,1,1
2월 17일,월,0 ,3.8,0,7.4,2,0,2014,0,0
2월 18일,화,0 ,1.6,0,5.5,2,0,2014,0,0
2월 19일,수,0 ,0.9,0,3.4,2,0,2014,0,0
2월 20일,목,0 ,0.5,0,1.9,2,0,2014,0,0
2월 21일,금,0 ,-0.1,0,0,2,0,2014,0,0
2월 22일,토,0 ,1,0,0.4,2,0,2014,1,1
2월 23일,일,0 ,1.9,0,0,2,0,2014,1,1
2월 24일,월,0 ,2.9,0,0,2,0,2014,0,0
2월 25일,화,0 ,4.4,0,2.5,2,0,2014,0,0
2월 26일,수,0 ,5.6,0,2,2,0,2014,0,0
2월 27일,목,0 ,6.7,0,5.3,2,0,2014,0,0
2월 28일,금,0 ,6.3,0,6.9,2,0,2014,0,0
3월 1일,토,0 ,6,0,7.9,3,0,2014,1,1
3월 2일,일,0 ,4.2,0,1.1,3,0,2014,1,1
3월 3일,월,11 ,3.4,0,0,3,0,2014,0,0
3월 4일,화,22428 ,4.9,0,5.3,3,0,2014,0,0
3월 5일,수,1619 ,1.7,0,0.8,3,0,2014,0,0
3월 6일,목,1043 ,0.5,0,1.4,3,0,2014,0,0
3월 7일,금,3892 ,0,0,1.6,3,0,2014,0,0
3월 8일,토,11540 ,1.6,0,5.1,3,0,2014,1,1
3월 9일,일,7990 ,1.5,0,3.5,3,3.5,2014,1,1
3월 10일,월,2135 ,1.1,0,0,3,0,2014,0,0
3월 11일,화,2208 ,3.7,0,1.4,3,0,2014,0,0
3월 12일,수,1199 ,5.8,0,8.6,3,2,2014,0,0
3월 13일,목,447 ,4.7,0,8.3,3,0,2014,0,0
3월 14일,금,2 ,2.5,0,1.6,3,0,2014,0,0
3월 15일,토,384 ,6.8,0,0.6,3,0,2014,1,1
3월 16일,일,427 ,10.6,0,1.6,3,0,2014,1,1
3월 17일,월,64 ,12.6,0,6.6,3,0,2014,0,0
3월 18일,화,141 ,10.1,0,6.8,3,0,2014,0,0
3월 19일,수,116 ,9,0,8.8,3,0,2014,0,0
3월 20일,목,104 ,5.9,0,7.8,3,1,2014,0,0
3월 21일,금,258 ,5.6,0,0.4,3,0,2014,0,0
3월 22일,토,766 ,8.3,0,0,3,0,2014,1,1
3월 23일,일,407 ,8.9,0,0,3,0,2014,1,1
3월 24일,월,82 ,10.7,0,4.9,3,0,2014,0,0
3월 25일,화,163 ,14.5,0,10,3,0,2014,0,0
3월 26일,수,199 ,14.7,0,5.6,3,0.5,2014,0,0
3월 27일,목,157 ,12.5,0,1.6,3,0,2014,0,0
3월 28일,금,329 ,16.4,0,6.6,3,0,2014,0,0
3월 29일,토,530 ,14,0,9.3,3,0.5,2014,1,1
3월 30일,일,579 ,14.1,0,2.6,3,0,2014,1,1
3월 31일,월,225 ,13.1,0,3.3,3,0,2014,0,0
4월 1일,화,452 ,14.3,0,1.9,4,0,2014,0,0
4월 2일,수,293 ,15.2,0,3.9,4,0,2014,0,0
4월 3일,목,171 ,9.8,0,7.5,4,1,2014,0,0
