date,day,total,temper,공휴일,cloud,month,night,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,목,15644,-9.2,1,0.8,1,0,0,0,0,2015,1,1
1월 2일,금,12704,-7,0,1.9,1,0,0,0,0,2015,0,0
1월 3일,토,13565,-3.6,0,3.9,1,0,0,0,0,2015,1,1
1월 4일,일,11218,1.8,0,4.3,1,0,0,0,0,2015,1,1
1월 5일,월,7632,2.7,0,7.1,1,0,0.4,0,0,2015,0,0
1월 6일,화,0,-4.5,0,2.6,1,0,3,10,0,2015,0,0
1월 7일,수,7956,-6.4,0,0.3,1,0,0,0,0,2015,0,0
1월 8일,목,6628,-5.6,0,0,1,0,0,0,0,2015,0,0
1월 9일,금,6974,-2.4,0,0.6,1,0,0,0,0,2015,0,0
1월 10일,토,11648,-0.6,0,0.6,1,0,0,0,0,2015,1,1
1월 11일,일,12520,-1.5,0,1.3,1,0,0,0,0,2015,1,1
1월 12일,월,7853,-3.1,0,0,1,0,0,0,0,2015,0,0
1월 13일,화,0,-0.3,0,5.4,1,0,0,10,0,2015,0,0
1월 14일,수,9384,2.3,0,9,1,0,0,0,0,2015,0,0
1월 15일,목,8777,2.5,0,2.6,1,0,0,0,0,2015,0,0
1월 16일,금,7232,-0.2,0,8.1,1,0,0.3,0,0,2015,0,0
1월 17일,토,13445,-5,0,0.3,1,0,0,0,0,2015,1,1
1월 18일,일,12387,-2.1,0,7.6,1,0,4,0,0,2015,1,1
1월 19일,월,9499,-1,0,1.6,1,0,0.1,0,0,2015,0,0
1월 20일,화,0,-1.7,0,4.6,1,0,0,10,0,2015,0,0
1월 21일,수,10296,2,0,8.8,1,0,0,0,0,2015,0,0
1월 22일,목,9667,2.7,0,5.1,1,0,0,0,0,2015,0,0
1월 23일,금,9784,0.8,0,3.4,1,0,0,0,0,2015,0,0
1월 24일,토,16212,3,0,6.3,1,0,0,0,0,2015,1,1
1월 25일,일,14198,1.7,0,9.5,1,0,3,0,0,2015,1,1
1월 26일,월,10938,3.6,0,8.4,1,0,0.5,0,0,2015,0,0
1월 27일,화,0,-3.6,0,1.1,1,0,0,10,0,2015,0,0
1월 28일,수,18684,-5,0,1.6,1,0,0,0,1,2015,0,0
1월 29일,목,12151,-1.9,0,9.3,1,0,0,0,0,2015,0,0
1월 30일,금,12075,-4.5,0,3.3,1,0,0,0,0,2015,0,0
1월 31일,토,15610,-5.6,0,0,1,0,0,0,0,2015,1,1
2월 1일,일,15196,-3.3,0,0.3,2,0,0,0,0,2015,1,1
2월 2일,월,11935,-0.8,0,2.4,2,0,0,0,0,2015,0,0
2월 3일,화,0,0.3,0,3.9,2,0,0,10,0,2015,0,0
2월 4일,수,16628,0,0,3.4,2,0,0,0,0,2015,0,0
2월 5일,목,13154,-0.9,0,0,2,0,0,0,0,2015,0,0
2월 6일,금,14706,-0.1,0,2.1,2,0,0,0,0,2015,0,0
2월 7일,토,18346,0.5,0,6.5,2,0,0,0,0,2015,1,1
2월 8일,일,13053,-11.1,0,0,2,0,0,0,0,2015,1,1
2월 9일,월,13426,-6.4,0,3.4,2,0,0.2,0,0,2015,0,0
2월 10일,화,0,1,0,4.6,2,0,0,10,0,2015,0,0
2월 11일,수,16489,1.7,0,5,2,1,0,0,0,2015,0,0
2월 12일,목,14130,-3.3,0,0,2,1,0,0,0,2015,0,0
2월 13일,금,12222,-2.5,0,0,2,1,0,0,0,2015,0,0
2월 14일,토,16557,1.6,0,6.5,2,1,0,0,0,2015,1,1
2월 15일,일,15665,6.2,0,8.3,2,1,0,0,0,2015,1,1
2월 16일,월,7381,3.8,0,10,2,1,10.5,0,0,2015,0,0
2월 17일,화,0,0.7,0,9.4,2,0,0.5,10,0,2015,0,0
2월 18일,수,16614,-0.1,1,7,2,0,0,0,0,2015,1,1
2월 19일,목,49408,1.6,1,1.4,2,0,0,0,0,2015,1,1
2월 20일,금,40315,4.2,1,5.1,2,0,0,0,0,2015,1,1
2월 21일,토,15505,4.4,0,9.8,2,0,8,0,0,2015,1,1
2월 22일,일,18774,2.6,0,6.3,2,0,2.5,0,0,2015,1,1
2월 23일,월,13170,-0.2,0,2.9,2,0,0,0,0,2015,0,0
2월 24일,화,0,1.3,0,2.9,2,0,0,10,0,2015,0,0
2월 25일,수,21755,4.1,0,7.8,2,0,0.5,0,1,2015,0,0
2월 26일,목,13626,-0.4,0,4.6,2,0,0.5,0,0,2015,0,0
2월 27일,금,13886,-2.7,0,2.4,2,0,0,0,0,2015,0,0
2월 28일,토,16493,1.6,0,8.6,2,0,0,0,0,2015,1,1
3월 1일,일,13880,1.1,1,6.1,3,0,0,0,0,2015,1,2
3월 2일,월,9945,3.5,0,1.6,3,0,0,0,0,2015,0,0
3월 3일,화,0,1.4,0,9.4,3,0,5.5,10,0,2015,0,0
3월 4일,수,10186,-3.5,0,0.8,3,0,0,0,0,2015,0,0
3월 5일,목,8416,-1.2,0,3.9,3,0,0,0,0,2015,0,0
3월 6일,금,9954,2.2,0,0.5,3,0,0,0,0,2015,0,0
3월 7일,토,18340,3.7,0,0,3,0,0,0,0,2015,1,1
3월 8일,일,18286,7.1,0,3.8,3,0,0,0,0,2015,1,1
3월 9일,월,7989,0.7,0,4,3,0,0,0,0,2015,0,0
3월 10일,화,0,-4.9,0,0,3,0,0,10,0,2015,0,0
3월 11일,수,9897,-0.3,0,1.4,3,0,0,0,0,2015,0,0
3월 12일,목,8730,1.2,0,2.1,3,0,0,0,0,2015,0,0
3월 13일,금,11218,4.5,0,1.8,3,0,0.1,0,0,2015,0,0
3월 14일,토,19037,3.5,0,2,3,0,0,0,0,2015,1,1
3월 15일,일,15627,5.4,0,1.8,3,0,0,0,0,2015,1,1
3월 16일,월,11322,9.2,0,2,3,0,0,0,0,2015,0,0
3월 17일,화,0,10.8,0,7.9,3,0,0,10,0,2015,0,0
3월 18일,수,11694,9.7,0,9.8,3,0,1.5,0,0,2015,0,0
3월 19일,목,11447,11.4,0,2.6,3,0,0,0,0,2015,0,0
3월 20일,금,12461,12.8,0,4.8,3,0,0,0,0,2015,0,0
3월 21일,토,23998,11.3,0,0.5,3,0,0,0,0,2015,1,1
3월 22일,일,20787,7.6,0,0,3,0,0,0,0,2015,1,1
3월 23일,월,13761,3.7,0,0.4,3,0,0,0,0,2015,0,0
3월 24일,화,0,4.6,0,0,3,0,0,10,0,2015,0,0
3월 25일,수,22570,6.1,0,0,3,0,0,0,1,2015,0,0
3월 26일,목,15117,7.7,0,0,3,0,0,0,0,2015,0,0
3월 27일,금,15682,8.3,0,0,3,0,0,0,0,2015,0,0
3월 28일,토,25386,9.7,0,3.3,3,0,0,0,0,2015,1,1
3월 29일,일,24484,9.8,0,5,3,0,0,0,0,2015,1,1
3월 30일,월,15900,12.9,0,2,3,0,0,0,0,2015,0,0
3월 31일,화,0,11.7,0,8.9,3,0,2.5,10,0,2015,0,0
4월 1일,수,19054,11,0,7.1,4,0,2.5,0,0,2015,0,0
4월 2일,목,17598,13.3,0,8.4,4,0,28,0,0,2015,0,0
4월 3일,금,17371,9.7,0,6.1,4,0,3.5,0,0,2015,0,0
4월 4일,토,25646,11.9,0,8,4,0,0,0,0,2015,1,1
4월 5일,일,18242,8.8,0,10,4,0,0.5,0,0,2015,1,1
4월 6일,월,19513,9.3,0,8.8,4,0,0,0,0,2015,0,0
4월 7일,화,0,7.2,0,7.6,4,0,0,10,0,2015,0,0
4월 8일,수,23387,7.4,0,3.8,4,0,0,0,0,2015,0,0
4월 9일,목,19361,9,0,2.8,4,0,0,0,0,2015,0,0
4월 10일,금,21611,11.3,0,0.1,4,0,0,0,0,2015,0,0
4월 11일,토,31460,13.4,0,0.4,4,0,0,0,0,2015,1,1
4월 12일,일,30051,14,0,7.9,4,0,0,0,0,2015,1,1
4월 13일,월,22361,10.1,0,9,4,0,6.5,0,0,2015,0,0
4월 14일,화,0,5.4,0,10,4,0,10.5,10,0,2015,0,0
4월 15일,수,28401,10.5,0,4.4,4,0,1,0,0,2015,0,0
4월 16일,목,18787,9.3,0,4.6,4,0,7,0,0,2015,0,0
4월 17일,금,26055,10.6,0,0.3,4,0,0,0,0,2015,0,0
4월 18일,토,27791,15,0,5,4,0,0,0,0,2015,1,1
4월 19일,일,17408,12.9,0,9.9,4,0,12,0,0,2015,1,1
4월 20일,월,21062,10.6,0,6,4,0,5.5,0,0,2015,0,0
4월 21일,화,0,13.7,0,1.8,4,0,0,10,0,2015,0,0
4월 22일,수,27906,13.8,0,2.8,4,0,0,0,0,2015,0,0
4월 23일,목,28115,14.6,0,3.5,4,0,0,0,0,2015,0,0
4월 24일,금,25422,15.3,0,0.9,4,0,0,0,0,2015,0,0
4월 25일,토,29127,16.3,0,0,4,0,0,0,0,2015,1,1
4월 26일,일,27856,18,0,0,4,0,0,0,0,2015,1,1
4월 27일,월,22021,18.9,0,1,4,0,0,0,0,2015,0,0
4월 28일,화,0,19.1,0,7.1,4,0,0,10,0,2015,0,0
4월 29일,수,26877,15.5,0,9,4,0,3.5,0,1,2015,0,0
4월 30일,목,24403,20.4,0,2.8,4,0,0,0,0,2015,0,0
5월 1일,금,30014,20.8,0,0,5,0,0,0,0,2015,0,0
5월 2일,토,35847,20.2,0,7.1,5,1,0.5,0,0,2015,1,1
5월 3일,일,24204,16.7,0,8.9,5,1,3.5,0,0,2015,1,1
5월 4일,월,28699,14.8,0,1.6,5,1,0,0,0,2015,0,0
5월 5일,화,30706,14.2,1,0.1,5,1,0,0,0,2015,1,1
5월 6일,수,18347,14.8,0,6.8,5,1,0,0,0,2015,0,0
5월 7일,목,17875,16.3,0,6,5,1,0,0,0,2015,0,0
5월 8일,금,18857,15.7,0,8.6,5,1,0,0,0,2015,0,0
5월 9일,토,25054,17.1,0,4.6,5,1,0,0,0,2015,1,1
5월 10일,일,21546,18.5,0,2.6,5,1,0,0,0,2015,1,1
5월 11일,월,18712,16.9,0,8,5,1,14,0,0,2015,0,0
5월 12일,화,0,12.1,0,7.4,5,0,9.5,10,0,2015,0,0
5월 13일,수,25282,16.6,0,1.8,5,1,0,0,0,2015,0,0
5월 14일,목,22054,19.9,0,4.8,5,1,0,0,0,2015,0,0
5월 15일,금,19855,17.8,0,6.3,5,0,0,0,0,2015,0,0
5월 16일,토,26206,18.1,0,0.4,5,0,0,0,0,2015,1,1
5월 17일,일,21604,18.5,0,4.8,5,0,0,0,0,2015,1,1
5월 18일,월,19880,17.3,0,8.4,5,0,0,0,0,2015,0,0
5월 19일,화,0,13.8,0,9.4,5,0,1,10,0,2015,0,0
5월 20일,수,27093,15.6,0,2,5,0,0,0,0,2015,0,0
5월 21일,목,24805,18.6,0,2.5,5,0,0,0,0,2015,0,0
