date,day,total,temp,공휴일,cloud,month,rain,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
1월 1일,토,0 ,-8,1,3.3,1,0,2011,1,2
1월 2일,일,0 ,-7.3,0,0,1,0,2011,1,1
1월 3일,월,0 ,-5.9,0,3.3,1,0,2011,0,0
1월 4일,화,0 ,-4.6,0,6.1,1,0,2011,0,0
1월 5일,수,0 ,-3,0,5.9,1,0,2011,0,0
1월 6일,목,0 ,-7.6,0,0,1,0,2011,0,0
1월 7일,금,0 ,-8.3,0,0,1,0,2011,0,0
1월 8일,토,0 ,-3.9,0,6.5,1,0,2011,1,1
1월 9일,일,0 ,-6.3,0,1,1,0,2011,1,1
1월 10일,월,0 ,-9.1,0,2.8,1,0,2011,0,0
1월 11일,화,0 ,-5.6,0,7.4,1,0,2011,0,0
1월 12일,수,0 ,-7.9,0,0,1,0,2011,0,0
1월 13일,목,0 ,-7.7,0,0.1,1,0,2011,0,0
1월 14일,금,0 ,-3.2,0,7.3,1,0,2011,0,0
1월 15일,토,0 ,-11.2,0,1.1,1,0,2011,1,1
1월 16일,일,0 ,-13.8,0,0,1,0,2011,1,1
1월 17일,월,0 ,-10.4,0,0,1,0,2011,0,0
1월 18일,화,0 ,-7.4,0,3.4,1,0,2011,0,0
1월 19일,수,0 ,-6.8,0,3,1,0,2011,0,0
1월 20일,목,0 ,-8,0,1.5,1,0,2011,0,0
1월 21일,금,0 ,-7.2,0,3.4,1,0,2011,0,0
1월 22일,토,0 ,-4.7,0,3.4,1,0,2011,1,1
1월 23일,일,0 ,-4.3,0,7.1,1,0,2011,1,1
1월 24일,월,0 ,-8.8,0,1.6,1,0,2011,0,0
1월 25일,화,9 ,-9.7,0,1.9,1,0,2011,0,0
1월 26일,수,783 ,-8.7,0,0.5,1,0,2011,0,0
1월 27일,목,2245 ,-9.2,0,2.6,1,0,2011,0,0
1월 28일,금,731 ,-6.9,0,4.9,1,0,2011,0,0
1월 29일,토,1598 ,-8.5,0,1.9,1,0,2011,1,1
1월 30일,일,1199 ,-9,0,0,1,0,2011,1,1
1월 31일,월,791 ,-6.7,0,2.1,1,0,2011,0,0
2월 1일,화,1444 ,-1.6,0,2.3,2,0,2011,0,0
2월 2일,수,3630 ,-0.4,1,2.1,2,0,2011,1,1
2월 3일,목,5130 ,-0.1,1,5.5,2,0,2011,1,1
2월 4일,금,7884 ,0.5,1,7.1,2,0,2011,1,1
2월 5일,토,10531 ,0.5,1,7,2,0,2011,1,2
2월 6일,일,5323 ,-0.4,0,7.6,2,0,2011,1,1
2월 7일,월,1625 ,-0.7,0,6.9,2,0,2011,0,0
2월 8일,화,1844 ,2.8,0,4.4,2,0,2011,0,0
2월 9일,수,1523 ,-0.6,0,1.4,2,0,2011,0,0
2월 10일,목,2239 ,-2.5,0,4.8,2,0,2011,0,0
2월 11일,금,1135 ,-2.6,0,0.8,2,0,2011,0,0
2월 12일,토,3136 ,-5.2,0,0,2,0,2011,1,1
2월 13일,일,3746 ,-5.2,0,4.6,2,0,2011,1,1
2월 14일,월,1291 ,-3.6,0,5.4,2,0,2011,0,0
2월 15일,화,1722 ,-2.4,0,0,2,0,2011,0,0
2월 16일,수,1764 ,-1,0,6,2,0,2011,0,0
2월 17일,목,2055 ,0.7,0,5.9,2,0,2011,0,0
2월 18일,금,2286 ,0.3,0,0,2,0,2011,0,0
2월 19일,토,11686 ,0.4,0,2.9,2,0,2011,1,1
2월 20일,일,19086 ,3.8,0,2.1,2,0,2011,1,1
2월 21일,월,4898 ,4.7,0,1.4,2,0,2011,0,0
2월 22일,화,5817 ,4.1,0,0.8,2,0,2011,0,0
2월 23일,수,5526 ,4.5,0,2.5,2,0,2011,0,0
2월 24일,목,7224 ,5.5,0,5,2,0,2011,0,0
2월 25일,금,5365 ,2.3,0,3.1,2,0,2011,0,0
2월 26일,토,16950 ,6.2,0,5.4,2,0,2011,1,1
2월 27일,일,627 ,4.7,0,10,2,0,2011,1,1
2월 28일,월,2306 ,3.3,0,9.9,2,0,2011,0,0
3월 1일,화,6600 ,1.3,1,6.6,3,0,2011,1,1
3월 2일,수,1570 ,-1.4,0,1.1,3,0,2011,0,0
3월 3일,목,1504 ,-1.3,0,0.1,3,0,2011,0,0
3월 4일,금,1575 ,0.4,0,0,3,0,2011,0,0
3월 5일,토,10221 ,1.7,0,5,3,0,2011,1,1
